name,subject,Ques,result,Attempted
gopi,maths,Q1,R,Y
gopi,maths,Q2,R,Y
gopi,maths,Q3,W,Y,Y
gopi,maths,Q4,R,Y,Y
gopi,science,Q1,W,Y
gopi,science,Q2,R,Y
gopi,science,Q3,W,Y
gopi,science,Q4,R,N
gopi,biology,Q1,R,Y
gopi,biology,Q2,,N
gopi,biology,Q3,W,Y
gopi,biology,Q4,R,Y
chandru,maths,Q1,W,N
chandru,maths,Q2,W,Y
chandru,maths,Q3,W,Y
chandru,maths,Q4,R,Y
chandru,science,Q1,R,Y
chandru,science,Q2,R,Y
chandru,science,Q3,,N
chandru,science,Q4,R,Y
chandru,science,Q2,R,Y
chandru,science,Q3,R,Y
chandru,science,Q4,W,N
chandru,biology,Q1,R,Y
chandru,biology,Q2,R,Y
chandru,biology,Q3,,N
chandru,biology,Q4,R,Y
chandru,biology,Q1,R,Y
chandru,biology,Q2,R,Y
chandru,biology,Q3,R,Y
chandru,biology,Q4,R,Y
